src/react-app/components/LandingCards.tsx(1,1): error TS6133: 'React' is declared but its value is never read.
src/react-app/components/Walkthrough.tsx(1,8): error TS6133: 'React' is declared but its value is never read.
src/react-app/ErrorBoundary.tsx(35,23): error TS2339: Property 'children' does not exist on type 'Readonly<{}>'.
src/react-app/pages/AdminDashboard.tsx(1,31): error TS6133: 'useRef' is declared but its value is never read.
src/react-app/pages/AdminDashboard.tsx(1,39): error TS6133: 'useCallback' is declared but its value is never read.
src/react-app/pages/AdminDashboard.tsx(30,9): error TS6133: 'openLocalList' is declared but its value is never read.
src/react-app/pages/AdminDashboard.tsx(180,9): error TS6133: 'getRemainingMs' is declared but its value is never read.
src/react-app/pages/AdminDashboard.tsx(186,9): error TS6133: 'formatMs' is declared but its value is never read.
src/react-app/pages/AdminDashboard.tsx(213,9): error TS6133: 'isDeliveryOpen' is declared but its value is never read.
src/react-app/pages/Home.tsx(1,10): error TS6133: 'useEffect' is declared but its value is never read.
src/react-app/pages/Home.tsx(6,1): error TS6133: 'LandingCards' is declared but its value is never read.
src/react-app/pages/Home.tsx(9,11): error TS6133: 'user' is declared but its value is never read.
src/react-app/pages/Home.tsx(52,18): error TS6133: 'handleLogin' is declared but its value is never read.
src/worker/index.ts(31,7): error TS2584: Cannot find name 'console'. Do you need to change your target library? Try changing the 'lib' compiler option to include 'dom'.
src/worker/index.ts(33,20): error TS2304: Cannot find name 'Response'.
src/worker/index.ts(46,34): error TS2304: Cannot find name 'Env'.
src/worker/index.ts(143,7): error TS2584: Cannot find name 'console'. Do you need to change your target library? Try changing the 'lib' compiler option to include 'dom'.
src/worker/index.ts(146,7): error TS2584: Cannot find name 'console'. Do you need to change your target library? Try changing the 'lib' compiler option to include 'dom'.
src/worker/index.ts(168,5): error TS2584: Cannot find name 'console'. Do you need to change your target library? Try changing the 'lib' compiler option to include 'dom'.
src/worker/index.ts(195,3): error TS2584: Cannot find name 'console'. Do you need to change your target library? Try changing the 'lib' compiler option to include 'dom'.
src/worker/index.ts(233,5): error TS2584: Cannot find name 'console'. Do you need to change your target library? Try changing the 'lib' compiler option to include 'dom'.
src/worker/index.ts(321,5): error TS2584: Cannot find name 'console'. Do you need to change your target library? Try changing the 'lib' compiler option to include 'dom'.
src/worker/index.ts(404,7): error TS2584: Cannot find name 'console'. Do you need to change your target library? Try changing the 'lib' compiler option to include 'dom'.
src/worker/index.ts(446,9): error TS2584: Cannot find name 'console'. Do you need to change your target library? Try changing the 'lib' compiler option to include 'dom'.
src/worker/index.ts(523,7): error TS2584: Cannot find name 'console'. Do you need to change your target library? Try changing the 'lib' compiler option to include 'dom'.
src/worker/index.ts(562,5): error TS2584: Cannot find name 'console'. Do you need to change your target library? Try changing the 'lib' compiler option to include 'dom'.
src/worker/index.ts(756,7): error TS6133: 'isWithinWindowWithOffset' is declared but its value is never read.
src/worker/index.ts(810,3): error TS2584: Cannot find name 'console'. Do you need to change your target library? Try changing the 'lib' compiler option to include 'dom'.
